task,seed,setting,split,example_count,distance_type,k2_partition,k2_cluster_sizes,k2_silhouette,k3_partition,k3_silhouette,preferred_k_by_silhouette,within_correlation,between_correlation,within_between_gap,cluster_strength,bootstrap_partition_support,minimum_pair_support,selected_updates_by_agent,accepted_updates_by_agent,strictness_status
disambiguation_qa,45,shared_independent_accuracy,train,75,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.27883555278180044,"{0,1,4}|{2}|{3}",0.21422883831406958,2,0.6557759982439574,0.45861696019392095,0.19715903805003643,strong,0.8337999999999999,0.621,"[7, 7, 6, 6, 6]","[2, 3, 1, 2, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_independent_accuracy,test,125,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.27616821996016583,"{0,1,4}|{2}|{3}",0.13301541953299076,2,0.6561107258401913,0.4626535260482844,0.19345719979190684,strong,0.8836,0.716,"[7, 7, 6, 6, 6]","[2, 3, 1, 2, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_peer_state_vote_first,train,75,correctness_correlation,"{0,2,4}|{1,3}","[3, 2]",0.42135550017661644,"{1,3}|{2,4}|{0}",0.38304915116612753,2,0.682667917886208,0.4327381542032509,0.24992976368295705,strong,0.8400000000000001,0.608,"[7, 7, 6, 6, 6]","[3, 3, 3, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_peer_state_vote_first,test,125,correctness_correlation,"{0,2,4}|{1,3}","[3, 2]",0.45924002068658265,"{1,3}|{2,4}|{0}",0.41399675660670177,2,0.6034613848203362,0.30392135276554083,0.29954003205479535,strong,0.9503999999999999,0.878,"[7, 7, 6, 6, 6]","[3, 3, 3, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_peer_state_member_pareto,train,75,correctness_correlation,"{1,2,3,4}|{0}","[4, 1]",0.23383225118115442,"{2,3,4}|{0}|{1}",0.2395582121445365,3,0.680727685795934,0.5465397456742127,0.1341879401217213,moderate,0.7702,0.567,"[7, 7, 6, 6, 6]","[4, 2, 3, 5, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_peer_state_member_pareto,test,125,correctness_correlation,"{2,3,4}|{0,1}","[3, 2]",0.4195345918497642,"{2,3,4}|{0}|{1}",0.2868441447963219,2,0.6903185076736963,0.422811425105235,0.2675070825684613,strong,0.9475999999999999,0.87,"[7, 7, 6, 6, 6]","[4, 2, 3, 5, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_member_aware_responsibility,train,75,correctness_correlation,"{2,3,4}|{0,1}","[3, 2]",0.2830803363246088,"{0,1}|{2,4}|{3}",0.22919505581002103,2,0.6341449144423444,0.47938217321619875,0.1547627412261457,strong,0.7444,0.54,"[13, 5, 4, 4, 6]","[1, 2, 2, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_member_aware_responsibility,test,125,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.3546628927624632,"{0,2,4}|{1}|{3}",0.2682518933266735,2,0.5639358875866932,0.21898714683107437,0.3449487407556189,strong,0.9818,0.969,"[13, 5, 4, 4, 6]","[1, 2, 2, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_member_aware_full,train,75,correctness_correlation,"{1,2,3,4}|{0}","[4, 1]",0.22248399120709172,"{1,2,3}|{0}|{4}",0.20752926923533024,2,0.528257352847531,0.3464753898606826,0.18178196298684834,moderate,0.8039999999999999,0.639,"[4, 4, 4, 16, 4]","[2, 1, 2, 2, 1]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,45,shared_member_aware_full,test,125,correctness_correlation,"{1,2,3}|{0,4}","[3, 2]",0.19889047521250094,"{1,2,3}|{0}|{4}",0.12093787403549079,2,0.5158431454013347,0.37325713727873916,0.14258600812259553,moderate,0.7565999999999999,0.536,"[4, 4, 4, 16, 4]","[2, 1, 2, 2, 1]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_independent_accuracy,train,75,correctness_correlation,"{1,2,3,4}|{0}","[4, 1]",0.10062315881873388,"{1,3,4}|{0}|{2}",0.05557307964348317,2,0.5452849081080555,0.4697946854842897,0.07549022262376581,moderate,0.6214,0.335,"[7, 7, 6, 6, 6]","[3, 2, 3, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_independent_accuracy,test,125,correctness_correlation,"{0,1,2}|{3,4}","[3, 2]",0.2621182435283429,"{1,2}|{3,4}|{0}",0.1814883993130798,2,0.5590981022592321,0.43030946486364646,0.1287886373955856,moderate,0.721,0.49,"[7, 7, 6, 6, 6]","[3, 2, 3, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_peer_state_vote_first,train,75,correctness_correlation,"{1,2,4}|{0,3}","[3, 2]",0.1784595241158051,"{1,2,4}|{0}|{3}",0.11609333502582882,2,0.6899186778131607,0.6058357689311952,0.08408290888196557,moderate,0.6446,0.363,"[7, 7, 6, 6, 6]","[4, 2, 2, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_peer_state_vote_first,test,125,correctness_correlation,"{0,1,2,4}|{3}","[4, 1]",0.2363641820913113,"{1,2,4}|{0}|{3}",0.2262838900427627,2,0.6430359272323887,0.49277348748980576,0.1502624397425829,moderate,0.8220000000000001,0.659,"[7, 7, 6, 6, 6]","[4, 2, 2, 3, 2]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_peer_state_member_pareto,train,75,correctness_correlation,"{0,1,3,4}|{2}","[4, 1]",0.25394923637190703,"{0,4}|{1,3}|{2}",0.20204227266015212,2,0.6328004284246589,0.4529135535024675,0.1798868749221914,strong,0.8358000000000001,0.69,"[7, 7, 6, 6, 6]","[3, 3, 2, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_peer_state_member_pareto,test,125,correctness_correlation,"{0,1,3,4}|{2}","[4, 1]",0.15013458866815657,"{0,3,4}|{1}|{2}",0.10289193580871478,2,0.5206004871464001,0.40306803171519606,0.117532455431204,moderate,0.755,0.525,"[7, 7, 6, 6, 6]","[3, 3, 2, 3, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_member_aware_responsibility,train,75,correctness_correlation,"{0,1,2,3}|{4}","[4, 1]",0.218191836378345,"{0,2,3}|{1}|{4}",0.17360768205419722,2,0.5722767908079559,0.3893913933336745,0.1828853974742814,moderate,0.7178,0.501,"[4, 4, 12, 7, 5]","[1, 3, 2, 2, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_member_aware_responsibility,test,125,correctness_correlation,"{0,1,2,3}|{4}","[4, 1]",0.3147025240245026,"{0,2,3}|{1}|{4}",0.12494184486963537,2,0.5590027354070496,0.24011746709655207,0.3188852683104975,strong,0.9471999999999999,0.889,"[4, 4, 12, 7, 5]","[1, 3, 2, 2, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_member_aware_full,train,75,correctness_correlation,"{0,2,3,4}|{1}","[4, 1]",0.14382677254099802,"{0,2}|{3,4}|{1}",0.17003579392819415,3,0.5349474846086237,0.4319012822900241,0.10304620231859962,moderate,0.6778000000000001,0.456,"[4, 4, 4, 16, 4]","[2, 2, 2, 4, 3]",exploratory_due_to_unmatched_repeated_test_observations
disambiguation_qa,46,shared_member_aware_full,test,125,correctness_correlation,"{1,3,4}|{0,2}","[3, 2]",0.20055406455708596,"{1,3,4}|{0}|{2}",0.08571180186690366,2,0.5371864695223307,0.4004414229374548,0.1367450465848759,moderate,0.7243999999999999,0.387,"[4, 4, 4, 16, 4]","[2, 2, 2, 4, 3]",exploratory_due_to_unmatched_repeated_test_observations
