contrast,left_model,left_prompt_family,mean_family_diversity,mean_homogeneity,mean_major_distribution_distance,mean_major_diversity,mean_prompt_embedding_diversity,mean_trace_embedding_diversity,mean_trace_token_diversity,mean_vote_acc,n,prompt_mode,right_model,right_prompt_family,unit
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,0.4979159540751979,0.6941150932853964,0.2222,0.4130730057695596,0.19230999082995615,0.16656709581900117,0.37112970496781766,0.805,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.49147511781653686,0.7279177615036857,0.2046,0.4083368805471303,0.17617782602504994,0.056371527907932144,0.15792752630179027,0.875,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.48264467113187354,0.7494686892932365,0.1592,0.38442087421006343,0.17982316783396468,0.05170395843767128,0.1514603835256869,0.88,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,0.5108809630650775,0.7226339923363536,0.18760000000000002,0.43263126112775796,0.19230999082995615,0.0512676244790189,0.15054318696357383,0.9,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.6118860516483828,0.48388954562130004,0.4414,0.6640824270302368,0.17617782602504994,0.0634212804553993,0.2301384857363642,0.885,100,family,deepseek-chat,same_definition,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.5507472735626159,0.6139727553680916,0.3478,0.571796150416153,0.17982316783396468,0.05951714704384163,0.21690528651984278,0.88,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,same_definition,0.5520749165477091,0.6273309254623874,0.372,0.5423645804502445,0.19230999082995615,0.06233957760969486,0.22419826954891792,0.885,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.49447340329908224,0.6945657591586147,0.23320000000000002,0.456201045360166,0.17617782602504994,0.050110071391682026,0.14694214581437495,0.85,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.4661738955738202,0.7265847273511536,0.2134,0.40869128665264004,0.17982316783396468,0.04960910849556053,0.14701798505469216,0.83,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,same_definition,0.47662346294877983,0.7516525403930416,0.1926,0.37010558993399334,0.19230999082995615,0.05212606931061461,0.15159092146426534,0.835,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.5243984362690527,0.6665840074843034,0.1852,0.43732985555512777,0.17617782602504994,0.16042916744859986,0.36481278141841605,0.795,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.4915702365797957,0.6881662363520504,0.1842,0.38966561526809446,0.17982316783396468,0.1684675796468803,0.37757927379899164,0.815,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,same_definition,0.4910792590525051,0.7147398861748187,0.18180000000000002,0.35282250794920456,0.19230999082995615,0.17017640768243206,0.37572891964852606,0.82,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.5214718325518631,0.6745200308961931,0.2518,0.4571538501570812,0.17617782602504994,0.06697988660427613,0.19928506683586544,0.905,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.5137621865824588,0.6970927496767017,0.2036,0.4296700690649704,0.17982316783396468,0.061155506121371654,0.19025879235935764,0.91,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,gpt-4o-mini,same_definition,0.5089535596973562,0.7336300412782477,0.1822,0.38820303786967797,0.19230999082995615,0.062521286987738,0.1922087037245811,0.915,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.6403351807206509,0.45510377761753806,0.4416,0.6813638881778376,0.17617782602504994,0.1483416251136934,0.38794246614611627,0.83,100,family,deepseek-chat,same_definition,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5769819179699296,0.566282331313384,0.3594,0.6100062484675498,0.17982316783396468,0.14561689826733692,0.3818002381851849,0.825,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,0.5731945586845761,0.5836774650498698,0.3742,0.5750552008211766,0.19230999082995615,0.16314734201661826,0.40904677756555446,0.815,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5195893405811198,0.6534780981675694,0.22840000000000002,0.4836323425381764,0.17617782602504994,0.14106181896237185,0.32499937609572094,0.795,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.4847861927164997,0.6874816610236341,0.20140000000000002,0.42815773163504556,0.17982316783396468,0.14100947256601354,0.326391169212453,0.775,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,0.48907738817581864,0.7110685769836835,0.18660000000000002,0.3859494518451225,0.19230999082995615,0.15907362625138002,0.3573849581353319,0.765,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5242606969360527,0.6740603999086532,0.19820000000000002,0.4424898992262622,0.17617782602504994,0.14359070163504412,0.3325973986334526,0.81,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.4971250010615068,0.670272797790806,0.1618,0.43000640108070654,0.17982316783396468,0.13989638155788384,0.32847416462691365,0.795,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,0.4984678208877952,0.6900324169754484,0.1696,0.3882940847630988,0.19230999082995615,0.15928432702489936,0.36124832002510565,0.785,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.54469975273422,0.6333623220160546,0.257,0.49721430770329567,0.17617782602504994,0.15305682036244486,0.3621898014497555,0.85,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5350285734278427,0.6489266796673441,0.2028,0.4492449217048764,0.17982316783396468,0.1488116076865795,0.35762757036313725,0.855,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,0.5294718711590001,0.6789010872586535,0.195,0.4057087939704056,0.19230999082995615,0.16482131646179737,0.38515638087272874,0.845,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.6361232908979656,0.4639352946353963,0.4144,0.6758159636650233,0.19218317182857392,0.06460236242135863,0.2213595481926205,0.93,100,family,deepseek-chat,same_definition,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.58714643996811,0.552151756919996,0.41300000000000003,0.6475862768405488,0.1937153464672663,0.06254983919881686,0.21483722066697172,0.925,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,same_definition,0.5661692856046795,0.6057534224041738,0.38,0.5887042751607435,0.19230999082995615,0.06208454793681937,0.22015181176221066,0.925,100,family,deepseek-chat,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5594450541289774,0.6402303106102131,0.2632,0.5479505272877256,0.19218317182857392,0.05598584888288682,0.14994977264943524,0.895,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5377431383868247,0.6590488813615754,0.2662,0.5153435348876514,0.1937153464672663,0.05614076874511417,0.15057126316937933,0.875,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,same_definition,0.5055174788151525,0.713981791594559,0.2376,0.42948056893553477,0.19230999082995615,0.05630366785335359,0.15774212037370083,0.875,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.558350861169271,0.6519826687863411,0.2644,0.5171330020585911,0.19218317182857392,0.06806979933420615,0.1933711386545093,0.91,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5592649552201296,0.6152212080217564,0.314,0.5406758051001233,0.1937153464672663,0.06522433151180156,0.1869564054807688,0.895,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,same_definition,0.5295701730410828,0.6686875955500055,0.2816,0.4565687777066948,0.19230999082995615,0.06647276340327155,0.1952013331646631,0.895,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5827764187841107,0.598938915063985,0.2834,0.5328713324230916,0.19218317182857392,0.16865431054820856,0.38695271728954833,0.84,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5760291277461821,0.5930489054308941,0.3316,0.5352048001963893,0.1937153464672663,0.17694425753296333,0.4006564548159006,0.86,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_different_prompt_family,qwen3.5-plus,same_definition,0.5275297215090138,0.6582782576705574,0.2788,0.4355051338737633,0.19230999082995615,0.17759792910912905,0.4020965190501295,0.86,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_same_prompt,gpt-4o-mini,same_prompt,0.4440209578971912,0.7734982752941973,0.1816,0.3287799691664637,0.0,0.053677349892055366,0.16580618095346156,0.905,100,exact,qwen3.5-plus,same_prompt,between_team_same_question
different_model_same_prompt_family,deepseek-chat,mixed_strategy,0.5609390722284513,0.5930441372848386,0.3548,0.6169957829792704,0.1553566461018996,0.05342978945135261,0.19583543267960687,0.845,100,family,gemini-2.5-flash-lite,mixed_strategy,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_definition,0.6148040071668948,0.5137026845455871,0.4266,0.6495835479598707,0.14955011350040714,0.0549135043190645,0.19545419978731812,0.875,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_elimination,0.514654414324385,0.6562386700647358,0.3528,0.5403040520464174,0.13389821923234613,0.05090287253522228,0.1855116545061542,0.85,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
different_model_same_prompt_family,deepseek-chat,mixed_strategy,0.5872238640385955,0.5440514836852476,0.36219999999999997,0.6478604747829714,0.1553566461018996,0.061786358546562496,0.22872411945775573,0.875,100,family,gpt-4o-mini,mixed_strategy,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_definition,0.6050516140049037,0.514519568289792,0.46499999999999997,0.6465983000273459,0.14955011350040714,0.0632792983262775,0.23047002109068276,0.89,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_elimination,0.5285887092457968,0.6306150844934317,0.3548,0.5446599427636524,0.13389821923234613,0.05670804938464307,0.20692867762881456,0.87,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_same_prompt_family,deepseek-chat,mixed_strategy,0.6018796313377142,0.5069250768601548,0.359,0.6674033802799678,0.1553566461018996,0.14744486343278906,0.388703154218277,0.82,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_definition,0.6213391308956292,0.48678818165979715,0.4524,0.647926800858436,0.14955011350040714,0.1632079900212195,0.41032260637647844,0.82,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_elimination,0.551435415966755,0.6038037322130292,0.3706,0.5369744655654041,0.13389821923234613,0.16925505668464272,0.4179823798611068,0.835,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_same_prompt_family,deepseek-chat,mixed_strategy,0.61928428626197,0.5018276367748056,0.3668,0.6972239849235966,0.18325875710883544,0.06333309459994697,0.22027138388085005,0.92,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_definition,0.5898427541788416,0.5381826569996668,0.4288,0.6491964863584024,0.14955011350040714,0.06216745610056435,0.22100515983224805,0.93,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_same_prompt_family,deepseek-chat,same_elimination,0.5539682009165209,0.6318195447278264,0.3368,0.5468096031668138,0.13389821923234613,0.05653271863366314,0.21024203676594047,0.93,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.4723304616805318,0.7218368028801119,0.2112,0.4144189389666365,0.1553566461018996,0.05092908538874016,0.14834959799214945,0.83,100,family,gpt-4o-mini,mixed_strategy,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,0.5060517558745906,0.7217500645021468,0.2228,0.42658996270973903,0.14955011350040714,0.051978387259755725,0.150174765769511,0.855,100,family,gpt-4o-mini,same_definition,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,0.4468617644849202,0.7561364956614312,0.2154,0.39666265838733145,0.13389821923234613,0.046271420021001916,0.13846545788998663,0.82,100,family,gpt-4o-mini,same_elimination,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.4971953251365429,0.677607878139481,0.21100000000000002,0.4329274042840209,0.1553566461018996,0.14146154877803835,0.32740013401492607,0.775,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,0.5258720179576323,0.6828453991647101,0.2096,0.44151889726938764,0.14955011350040714,0.15861354047967993,0.356168678768963,0.785,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,0.46673877342180686,0.7297740397085476,0.1894,0.3519427550176459,0.13389821923234613,0.1663397348711735,0.37209506592200736,0.785,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.5299019836837818,0.6639573071420913,0.2522,0.507684136238272,0.18325875710883544,0.056479300464609264,0.15156733019547977,0.875,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_definition,0.5263065374503364,0.7003576698945141,0.2442,0.46494949414593106,0.14955011350040714,0.05566637564575651,0.15568367834412256,0.895,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,0.4833351703264357,0.7472351681429471,0.1822,0.38775482676757433,0.13389821923234613,0.05103261051420241,0.15027905574315217,0.88,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,mixed_strategy,0.5277148791936362,0.6429674838894429,0.186,0.4742806094028438,0.1553566461018996,0.14239106789257178,0.3342090780748958,0.805,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,same_definition,0.5057125457880142,0.7108852548407691,0.1658,0.38698456758217203,0.14955011350040714,0.15933557547626287,0.3592953673366188,0.8,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,same_elimination,0.4670106011076816,0.7223135129673077,0.146,0.3501229574221279,0.13389821923234613,0.16504390214632217,0.36989681281396936,0.805,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,mixed_strategy,0.566630279318336,0.6092901637088681,0.284,0.5537390381791725,0.18325875710883544,0.06707420205096602,0.19253568672170732,0.905,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,same_definition,0.5104877705951409,0.7327378352436008,0.2066,0.42344446833718824,0.14955011350040714,0.06604303480238709,0.1975603808139766,0.91,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_same_prompt_family,gpt-4o-mini,same_elimination,0.4922795186266229,0.716327314085074,0.19060000000000002,0.3927829260529571,0.13389821923234613,0.05917099470945099,0.1824331019670062,0.9,100,family,qwen3.5-plus,same_elimination,between_team_same_question
different_model_same_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5741773356884665,0.5677371965402171,0.2928,0.5615558231378783,0.18325875710883544,0.1534888827248062,0.3602620373179632,0.85,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
different_model_same_prompt_family,qwen2.5-7b-instruct,same_definition,0.5354624903297698,0.6778124423829222,0.2324,0.44847017268135164,0.14955011350040714,0.16741586348197715,0.38678342954706024,0.84,100,family,qwen3.5-plus,same_definition,between_team_same_question
different_model_same_prompt_family,qwen2.5-7b-instruct,same_elimination,0.5129990941923201,0.6879525700858238,0.2062,0.3827420290902601,0.13389821923234613,0.1726013354441091,0.39645449151345086,0.865,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_different_prompt_family,deepseek-chat,mixed_strategy,0.640327451876786,0.4461179258142248,0.3692,0.7278994027273787,0.17617782602504994,0.04655023327301358,0.1805557303731197,0.9,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_different_prompt_family,deepseek-chat,mixed_strategy,0.5603728704513604,0.5891110813790223,0.24860000000000002,0.6466784328186094,0.17982316783396468,0.042415082452751364,0.16714690098860752,0.895,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_different_prompt_family,deepseek-chat,same_definition,0.6250024096862433,0.47612398386081134,0.4444,0.6984551009802802,0.19230999082995615,0.047050964577261364,0.1809559884975168,0.905,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.4539273607544116,0.7882242519875924,0.1188,0.3845901354313453,0.17617782602504994,0.03033790928901082,0.07823812614919953,0.82,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.4265476985237207,0.8169922319010885,0.109,0.33848481865001223,0.17982316783396468,0.02970947390445937,0.07877854968201733,0.8,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_different_prompt_family,gemini-2.5-flash-lite,same_definition,0.4489405400802485,0.7874513300445858,0.13040000000000002,0.37936843871999254,0.19230999082995615,0.029794082866821205,0.0796426421659418,0.82,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.49554612785931484,0.7356891128381926,0.14900000000000002,0.3943639605325953,0.17617782602504994,0.04669025343050395,0.14106998996583198,0.865,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_different_prompt_family,gpt-4o-mini,mixed_strategy,0.4793545352625699,0.7234480288441921,0.1804,0.4341984604956094,0.17982316783396468,0.04034930592484771,0.12881152963044323,0.85,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_different_prompt_family,gpt-4o-mini,same_definition,0.4781068243050475,0.7446761363712993,0.1542,0.3667953678228527,0.19230999082995615,0.046682689920906774,0.14203244302189458,0.855,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.5213505657045425,0.65333053730137,0.14980000000000002,0.43373512751531856,0.17617782602504994,0.18772840398535923,0.40978379895413897,0.74,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_different_prompt_family,qwen2.5-7b-instruct,mixed_strategy,0.4954152214036772,0.6731040136313796,0.135,0.395823771844555,0.17982316783396468,0.1968648836075934,0.4301481928783883,0.76,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_different_prompt_family,qwen2.5-7b-instruct,same_definition,0.48085600477909146,0.6953116813398275,0.13820000000000002,0.34749645681267494,0.19230999082995615,0.19620234936625403,0.42631985491091545,0.75,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.549753329862146,0.6782408039280402,0.186,0.5149917674148897,0.19218317182857392,0.05284591680679597,0.14263959414656183,0.95,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_different_prompt_family,qwen3.5-plus,mixed_strategy,0.5469915039036037,0.6671926074809069,0.2008,0.5032777109172728,0.1937153464672663,0.048264427380657234,0.136468791201977,0.955,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_different_prompt_family,qwen3.5-plus,same_definition,0.5093452245328893,0.7407173879452629,0.1468,0.4131625685382673,0.19230999082995615,0.04746324229545475,0.14048609238262244,0.955,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,gpt-4o-mini,same_prompt,0.31806217259248765,0.882011760678367,0.19054308929700386,0.19054308929700386,0.0,0.021251337381411523,0.07463805872511324,0.85,100,exact,gpt-4o-mini,same_prompt,within_team
same_model_same_prompt,qwen3.5-plus,same_prompt,0.43622848859785546,0.802542172297276,0.32576219507688137,0.32576219507688137,0.0,0.025647618948261276,0.0857858641278937,0.96,100,exact,qwen3.5-plus,same_prompt,within_team
same_model_same_prompt_family,deepseek-chat,mixed_strategy,0.5818787384273346,0.5092478477315014,0.7032850734512754,0.7032850734512754,0.174776226864637,0.04439547526905538,0.17739216847339961,0.89,100,family,deepseek-chat,mixed_strategy,within_team
same_model_same_prompt_family,deepseek-chat,same_definition,0.48070818362686885,0.5371607272402283,0.6376507868799696,0.6376507868799696,0.16824387768795812,0.04766981727962888,0.17946359774054954,0.91,100,family,deepseek-chat,same_definition,within_team
same_model_same_prompt_family,deepseek-chat,same_elimination,0.4785885309980785,0.6914997948881539,0.48892477401986195,0.48892477401986195,0.15063549663638942,0.03709744985481317,0.14636453261720933,0.9,100,family,deepseek-chat,same_elimination,within_team
same_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,0.42681655125045725,0.8140759539137928,0.3276442295306647,0.3276442295306647,0.174776226864637,0.03054723671197127,0.07859859639255468,0.8,100,family,gemini-2.5-flash-lite,mixed_strategy,within_team
