contrast,left_model,left_prompt_family,left_run,major_distribution_distance,question_hash,right_model,right_prompt_family,right_run
different_model_different_prompt_family,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42,0.34,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42,0.20000000000000007,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42,0.34,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
same_model_different_prompt_family,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42,0.14000000000000007,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42,0.0,de566530eac3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_same_prompt_family,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_same_prompt_family,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_same_prompt_family,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42,0.0,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42,0.19999999999999998,de566530eac3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_same_prompt_family,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42,0.2,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42,0.19999999999999998,de566530eac3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt,gpt-4o-mini,same_prompt,P4_same_prompt_gpt4omini_seed42,0.54,de566530eac3,qwen3.5-plus,same_prompt,P4_same_prompt_qwen35_plus_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.14000000000000004,237e5cab91d3,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.26,237e5cab91d3,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.28,237e5cab91d3,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42
different_model_same_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.46,237e5cab91d3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
same_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.08000000000000002,237e5cab91d3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.46,237e5cab91d3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.54,237e5cab91d3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.3400000000000001,237e5cab91d3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.54,237e5cab91d3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
same_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.4,237e5cab91d3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.3400000000000001,237e5cab91d3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.4,237e5cab91d3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.4800000000000001,237e5cab91d3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
different_model_different_prompt_family,deepseek-chat,mixed_strategy,P4_mixed_strategy_deepseek_chat_seed42,0.32000000000000006,237e5cab91d3,qwen3.5-plus,same_elimination,P4_same_elimination_qwen35_plus_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.34,237e5cab91d3,gpt-4o-mini,mixed_strategy,P4_mixed_strategy_gpt4omini_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.27999999999999997,237e5cab91d3,qwen2.5-7b-instruct,mixed_strategy,P4_mixed_strategy_qwen25_7b_seed42
different_model_same_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.4599999999999999,237e5cab91d3,qwen3.5-plus,mixed_strategy,P4_mixed_strategy_qwen35_plus_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.060000000000000026,237e5cab91d3,deepseek-chat,same_definition,P4_same_definition_deepseek_chat_seed42
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.31999999999999995,237e5cab91d3,gemini-2.5-flash-lite,same_definition,P4_same_definition_gemini_flash_lite_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.5399999999999999,237e5cab91d3,gpt-4o-mini,same_definition,P4_same_definition_gpt4omini_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.33999999999999997,237e5cab91d3,qwen2.5-7b-instruct,same_definition,P4_same_definition_qwen25_7b_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.5399999999999999,237e5cab91d3,qwen3.5-plus,same_definition,P4_same_definition_qwen35_plus_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.25999999999999995,237e5cab91d3,deepseek-chat,same_elimination,P4_same_elimination_deepseek_chat_seed42
same_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.2,237e5cab91d3,gemini-2.5-flash-lite,same_elimination,P4_same_elimination_gemini_flash_lite_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.3999999999999999,237e5cab91d3,gpt-4o-mini,same_elimination,P4_same_elimination_gpt4omini_seed42
different_model_different_prompt_family,gemini-2.5-flash-lite,mixed_strategy,P4_mixed_strategy_gemini_flash_lite_seed42,0.48,237e5cab91d3,qwen2.5-7b-instruct,same_elimination,P4_same_elimination_qwen25_7b_seed42
