case_id,arm,rejected_plan_witness,candidate_hash,candidate_stage,candidate_valid,common_safe_feasible,train_target_gain,train_vote_gain,train_vote_loss,train_vote_net,zero_loss_feasible,would_commit
seed60_blocked_u0_t0,shadow_raw,True,71e9a8ab68591a23378702c24fbf2728a6b066f1cc6661fdfc9c07780238dfb3,revision,True,False,0,0,0,0,False,False
seed60_blocked_u0_t0,shadow_raw,True,62dd193d2a55e6c77eb9bd7abaeca2b5e9e1759b39bb6963ffa580f8f7dffe08,revision,True,False,0,0,0,0,False,False
seed60_passed_u1_t3,shadow_raw,True,df3dae0670691d9bbc4fcf17232ca530f1e8df83cc2de0d6e4a6f74240172491,source,True,True,1,0,0,0,True,True
seed60_passed_u1_t3,shadow_raw,True,93a192366a98cf7c8fe012dd7e7ee83fd240d22b875005e0c3172668f9e041d9,source,True,False,-1,0,0,0,False,False
seed60_passed_u1_t3,shadow_raw,True,4dbe11816c374f660c770ed451f5a8a0fde8b263bcb5547a6cb4963fc4eaea4b,revision,True,False,-6,0,0,0,False,False
seed60_passed_u1_t3,shadow_raw,True,5109e17631449a4d570d034ef5f9bbfc8fa776f54830bf0d768dfe5b60de9f8c,revision,True,False,-1,0,0,0,False,False
seed61_blocked_u0_t0,shadow_raw,True,70eee4a8d0872ca7e3fd459a585dbf9f1f3bba4d3df9d15ba08ad78b082bfba7,source,True,False,-8,0,0,0,False,False
seed61_blocked_u0_t0,shadow_raw,True,28c4980d33012a474a196f2286c1767fd06366cc132f46042687c4302eb804bd,source,True,True,1,0,0,0,True,True
seed61_blocked_u0_t0,shadow_raw,True,808794e47f8747af80f631540664049a258845e140bfe37796ec4160bdc345c5,revision,True,False,-13,0,0,0,False,False
seed61_blocked_u0_t0,shadow_raw,True,08c7f9323086e8d04cafa29c961d2b25bc9e901ca21918254c41ba33468b0824,revision,True,False,0,0,0,0,False,False
seed61_passed_u1_t3,canonical_control,True,f08b30cb12cf70bb906ce76adc488bf295d45366698bdf76f1ef307ec48de718,source,True,True,7,0,0,0,True,False
seed61_passed_u1_t3,canonical_control,True,25f7b8fbffe75b1144caf4b901d447bc68f00ee7105867befd9616aee7f526ec,source,True,True,5,0,0,0,True,False
seed61_passed_u1_t3,canonical_control,True,0e2ad6fb27c3695b4ca2fa200a47fb3e9d35bdc118ce5eb8c6ef7c0257c47c19,revision,True,True,7,0,0,0,True,False
seed61_passed_u1_t3,canonical_control,True,25d96561fd74e329560936ba33da688200e59f05055172937675b750817117a8,revision,True,True,9,0,0,0,True,True
seed61_passed_u1_t3,shadow_raw,True,ec3dc1339e83c8a9e21cd7cdd0807f4d7c73d9db8cec4ff4338f34e554159b61,source,True,True,7,0,0,0,True,False
seed61_passed_u1_t3,shadow_raw,True,cbf420fdc92e7cde74401b07efb6370490478f89d80071feeda3cd014734573e,source,True,False,-4,0,0,0,False,False
seed61_passed_u1_t3,shadow_raw,True,9445826a4d69556b64cf6048e849e9dc2d44ee469399d3ca09f888ffa06c583f,revision,True,True,11,0,0,0,True,True
seed61_passed_u1_t3,shadow_raw,True,fd3321f3f6b32987edbc3355d5be1452659797fa0c196e68e1af5f4a96d72f84,revision,True,False,-1,0,0,0,False,False
