agent_id,candidate_id,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_target_accuracy,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,reward,setting_seed,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
4,g1_a4_p26b37815e849_1_a18c8f7c143e,270,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.3977510839402676,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
4,g1_a4_p26b37815e849_0_b5494e94068e,253,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.39628566083312033,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_0_892c1e76374f,247,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.5,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_1_5f1b42b04618,248,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.5,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.5,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_0_762336c7dadc,256,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.638,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.1,0.0
3,g1_a3_p26b37815e849_1_5118363a3990,211,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.5,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.5,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_0_e6a8c7590eaa,252,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_1_ebde4b41535c,242,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_p26b37815e849_0_273328daa38a,309,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.508,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_p26b37815e849_1_0e6b7c5a57b1,308,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.508,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_pb96efeedb0cd_0_7c1e7c7a7044,311,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_pb96efeedb0cd_1_5462e7afeb51,275,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.508,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_p2b884c0784c8_0_405e11ee64b8,380,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g2_a0_p2b884c0784c8_1_301837c9d730,402,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_0_892c1e76374f,247,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_1_5f1b42b04618,248,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.508,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_0_97603f21064b,239,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.27999999999999997,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,10,disambiguation_qa,0.2,0.0
3,g1_a3_p26b37815e849_1_5035b6ecc214,237,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.13999999999999999,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,10,disambiguation_qa,0.1,0.0
3,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_0_c78f065dd9f6,297,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,-0.14999999999999997,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_1_9132911b2b20,297,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,-0.14999999999999997,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
4,g1_a4_p26b37815e849_0_c8c022b068b7,295,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
4,g1_a4_p26b37815e849_1_55109e4a5f08,278,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
4,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_0_f59505947c9d,342,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.19999999999999996,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g1_a0_p26b37815e849_1_7f57c2badb9f,317,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.09999999999999998,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
0,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_0_7dcd146618eb,271,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_1_0fd6bf25630e,340,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.18,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g0_00bcb3ee9efb,171,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_0_400e97512394,370,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_1_53a8b143f8b4,336,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_0_498bdf2ad201,382,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.09999999999999998,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_1_d16338d8970e,294,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_depth2_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_0_ee3d4b1998cc,344,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.27999999999999997,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g1_a3_p26b37815e849_1_fb73d44bd93c,314,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.19999999999999996,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
3,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_0_bff860c0681f,232,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.27999999999999997,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_1_1d5d6ecee977,222,True,False,False,0.6,0,0,0,0,0,0,0,0,0,1,0.23999999999999996,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.1,0.0
2,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,10,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_0_3b2b3e3ebfa3,262,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g1_a1_p26b37815e849_1_901f31efbbff,246,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
1,g0_00bcb3ee9efb,171,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p906c4cc2ce5e_0_0f596220e994,350,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.10000000000000003,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p906c4cc2ce5e_1_9df3867201f0,345,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.10000000000000003,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p66a363e6bda4_0_9bcbf0773c1e,411,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.2,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p66a363e6bda4_1_2110cb4c75f5,437,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.10000000000000003,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p26b37815e849_0_8a786b67e404,381,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.10000000000000003,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g2_a2_p26b37815e849_1_20d79074add9,321,True,False,False,0.4,0,0,0,0,0,0,0,0,0,1,0.10000000000000003,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_0_bff860c0681f,232,True,False,False,0.3,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g1_a2_p26b37815e849_1_1d5d6ecee977,222,True,False,False,0.5,0,0,0,0,0,0,0,0,0,1,0.2,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
2,g0_00bcb3ee9efb,171,True,False,False,0.3,0,0,0,0,0,0,0,0,0,1,0.0,shared_vote_tcs_competence_schedule_seed42,0.0,0,20,disambiguation_qa,0.0,0.0
