trajectory,seed,arm,update_index,target_member,critic_branch_outcome,teacher_plan_count,first_plan_unsafe,final_plan_unsafe,final_output_contract_unsafe,final_anti_cheating_unsafe,final_preservation_output_unsafe,any_plan_unsafe,final_output_fields,final_anti_fields,selected_case_count,selected_pattern_count,context_characters,context_mode,module2_context_variant
seed59/W1_TOP2,59,W1_TOP2,3,1,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4909,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,3,3,blocked,2,True,True,False,True,False,True,,failure_pattern|preservation_rule,3,3,4887,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,4,0,blocked,2,True,True,False,True,False,True,,failure_pattern|repair_rule|preservation_rule,3,3,4933,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,4,2,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule,3,3,5236,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,5,1,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4909,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,5,3,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4886,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,6,0,blocked,2,True,True,True,True,True,True,repair_rule|preservation_rule,failure_pattern|preservation_rule,3,3,4933,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,6,4,passed,1,True,True,False,True,False,True,,preservation_rule,3,3,5203,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,7,1,passed,2,True,True,False,True,False,True,,failure_pattern|preservation_rule,3,3,4909,generic_peer_state,c0_current_v15
seed59/W1_TOP2,59,W1_TOP2,7,3,blocked,2,True,True,True,True,True,True,repair_rule|preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4886,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,0,0,blocked,2,True,True,True,True,True,True,repair_rule|preservation_rule,repair_rule,3,3,4888,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,0,4,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,1,2,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4902,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,1,3,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4896,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,2,3,blocked,2,False,False,False,False,False,False,,,3,3,5462,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,2,4,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4886,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,3,0,blocked,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4871,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,3,1,blocked,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4864,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,4,2,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4897,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,4,3,blocked,2,True,True,False,True,False,True,,preservation_rule,3,3,5376,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,5,0,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4808,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,5,4,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4856,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,6,1,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4832,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,6,2,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,5254,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,7,0,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule|preservation_rule,3,3,4808,generic_peer_state,c0_current_v15
seed60/HYBRID_BASE,60,HYBRID_BASE,7,4,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4856,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,0,2,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|preservation_rule,3,3,4902,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,0,4,blocked,2,True,True,True,False,False,True,repair_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,1,0,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4888,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,1,3,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4896,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,2,1,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4837,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,2,3,passed,1,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,5529,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,3,2,passed,2,True,True,True,False,True,True,preservation_rule,,3,3,4922,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,3,4,passed,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4946,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,4,0,blocked,2,True,True,False,True,False,True,,preservation_rule,3,3,4907,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,4,2,blocked,2,True,True,False,True,False,True,,failure_pattern|repair_rule|preservation_rule,3,3,4919,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,5,1,blocked,2,True,True,False,True,False,True,,preservation_rule,3,3,4895,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,5,2,blocked,2,True,True,True,True,False,True,repair_rule,repair_rule|preservation_rule,3,3,4919,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,6,3,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,5517,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,6,4,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,5365,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,7,0,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4906,generic_peer_state,c0_current_v15
seed60/W1_TOP2,60,W1_TOP2,7,1,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4895,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,0,0,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,0,1,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4902,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,1,2,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4896,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,1,3,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4937,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,2,0,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule,3,3,4884,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,2,4,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4913,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,3,2,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4859,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,3,3,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,5219,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,4,0,blocked,2,False,False,False,False,False,False,,,3,3,4840,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,4,4,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,5488,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,5,1,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4841,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,5,2,passed,1,True,True,False,True,False,True,,preservation_rule,3,3,4865,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,6,2,blocked,2,True,True,False,True,False,True,,failure_pattern|repair_rule|preservation_rule,3,3,5117,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,6,3,blocked,2,False,False,False,False,False,False,,,3,3,5266,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,7,0,blocked,2,True,True,True,True,True,True,preservation_rule,preservation_rule,3,3,4826,generic_peer_state,c0_current_v15
seed61/HYBRID_BASE,61,HYBRID_BASE,7,1,passed,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4811,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,0,0,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4830,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,0,1,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4902,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,1,2,passed,1,True,True,True,False,True,True,preservation_rule,,3,3,4896,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,1,4,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4888,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,2,2,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule|preservation_rule,3,3,5247,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,2,3,blocked,2,True,True,True,False,True,True,preservation_rule,,3,3,4851,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,3,0,blocked,2,True,True,True,True,True,True,repair_rule|preservation_rule,failure_pattern,3,3,4915,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,3,2,blocked,2,True,True,True,True,True,True,preservation_rule,repair_rule,3,3,5161,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,4,1,passed,2,True,True,True,False,True,True,preservation_rule,,3,3,4882,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,4,2,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|preservation_rule,3,3,5161,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,5,3,blocked,2,True,True,True,True,True,True,preservation_rule,failure_pattern|repair_rule|preservation_rule,3,3,4823,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,5,4,blocked,2,True,True,True,False,True,True,repair_rule|preservation_rule,,3,3,4862,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,6,0,blocked,2,True,True,False,True,False,True,,preservation_rule,3,3,4821,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,6,2,blocked,2,False,False,False,False,False,False,,,3,3,5127,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,7,3,passed,1,False,False,False,False,False,False,,,3,3,4823,generic_peer_state,c0_current_v15
seed61/W1_TOP2,61,W1_TOP2,7,4,blocked,2,True,True,False,True,False,True,,failure_pattern,3,3,4861,generic_peer_state,c0_current_v15
