trace_key,source_run,question_hash,agent_id,original_primary_family,original_secondary_family,primary_agreement,secondary_agreement,pair_agreement,major_agreement,mean_confidence,repeats,primary_labels,secondary_labels
P4_same_elimination_gpt4omini_seed42::2ff0314a4b2b::0::10,P4_same_elimination_gpt4omini_seed42,2ff0314a4b2b,0,rule_or_principle_application,rule_or_principle_application,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_qwen25_7b_seed42::b6f82dae77a3::0::11,P4_same_elimination_qwen25_7b_seed42,b6f82dae77a3,0,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_gemini_flash_lite_seed42::df68242698cc::0::12,P4_same_elimination_gemini_flash_lite_seed42,df68242698cc,0,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_gpt4omini_seed42::70abc09af563::0::13,P4_same_elimination_gpt4omini_seed42,70abc09af563,0,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::e668c65c8a2a::0::14,P4_mixed_strategy_gemini_flash_lite_seed42,e668c65c8a2a,0,option_contrast,answer_to_stem_backward_check,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.85,3,causal_mechanism_reasoning;option_contrast;option_contrast,option_contrast;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_same_elimination_qwen25_7b_seed42::d448d01be0a9::4::15,P4_same_elimination_qwen25_7b_seed42,d448d01be0a9,4,answer_to_stem_backward_check,answer_to_stem_backward_check,1.0,1.0,1.0,1.0,0.85,3,answer_to_stem_backward_check;answer_to_stem_backward_check;answer_to_stem_backward_check,answer_to_stem_backward_check;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_same_elimination_gpt4omini_seed42::9988718b5a7a::4::16,P4_same_elimination_gpt4omini_seed42,9988718b5a7a,4,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_qwen25_7b_seed42::f4888ae525b1::3::17,P4_same_elimination_qwen25_7b_seed42,f4888ae525b1,3,option_contradiction_check,distractor_elimination,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.85,3,option_contrast;option_contrast;option_contradiction_check,option_contrast;distractor_elimination;option_contradiction_check
P4_mixed_strategy_qwen25_7b_seed42::557a0c8a62f6::4::18,P4_mixed_strategy_qwen25_7b_seed42,557a0c8a62f6,4,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gpt4omini_seed42::557a0c8a62f6::3::19,P4_mixed_strategy_gpt4omini_seed42,557a0c8a62f6,3,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_deepseek_chat_seed42::66cb33382134::1::20,P4_mixed_strategy_deepseek_chat_seed42,66cb33382134,1,concept_definition_match,option_contrast,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,option_contrast;option_contrast;option_contrast
P4_same_elimination_gemini_flash_lite_seed42::1163ebe8b743::3::21,P4_same_elimination_gemini_flash_lite_seed42,1163ebe8b743,3,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::debd1e1af07d::1::22,P4_mixed_strategy_gemini_flash_lite_seed42,debd1e1af07d,1,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_deepseek_chat_seed42::bab7e93c939f::2::23,P4_mixed_strategy_deepseek_chat_seed42,bab7e93c939f,2,option_contrast,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;distractor_elimination;option_contrast
P4_same_elimination_gpt4omini_seed42::1344eb3e8338::1::24,P4_same_elimination_gpt4omini_seed42,1344eb3e8338,1,option_contrast,distractor_elimination,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;concept_definition_match;option_contrast,distractor_elimination;concept_definition_match;distractor_elimination
P4_same_elimination_deepseek_chat_seed42::dc85d6955e92::1::25,P4_same_elimination_deepseek_chat_seed42,dc85d6955e92,1,decomposition,decomposition,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,decomposition;decomposition;decomposition,decomposition;decomposition;equation_solving
P4_same_elimination_gpt4omini_seed42::70abc09af563::1::26,P4_same_elimination_gpt4omini_seed42,70abc09af563,1,option_contrast,option_contrast,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.85,3,rule_or_principle_application;option_contrast;option_contrast,rule_or_principle_application;option_contrast;distractor_elimination
P4_mixed_strategy_qwen25_7b_seed42::a65051ae94fb::3::27,P4_mixed_strategy_qwen25_7b_seed42,a65051ae94fb,3,option_contrast,distractor_elimination,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::c2d812e5a35d::2::28,P4_mixed_strategy_gemini_flash_lite_seed42,c2d812e5a35d,2,option_contrast,answer_to_stem_backward_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,answer_to_stem_backward_check;distractor_elimination;distractor_elimination
P4_mixed_strategy_qwen25_7b_seed42::d1ea00cab364::1::29,P4_mixed_strategy_qwen25_7b_seed42,d1ea00cab364,1,direct_computation,direct_computation,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contradiction_check;option_contrast;option_contrast
P4_mixed_strategy_gpt4omini_seed42::4287ffc2abab::3::30,P4_mixed_strategy_gpt4omini_seed42,4287ffc2abab,3,option_contradiction_check,answer_to_stem_backward_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contradiction_check;option_contradiction_check;option_contradiction_check,option_contradiction_check;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_same_elimination_gpt4omini_seed42::a63408590859::1::31,P4_same_elimination_gpt4omini_seed42,a63408590859,1,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gemini_flash_lite_seed42::e55445e07e9f::1::32,P4_mixed_strategy_gemini_flash_lite_seed42,e55445e07e9f,1,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_deepseek_chat_seed42::94c6b3e7fb22::2::33,P4_same_elimination_deepseek_chat_seed42,94c6b3e7fb22,2,causal_reasoning,concept_definition_match,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,option_contrast;concept_definition_match;concept_definition_match
P4_same_elimination_gpt4omini_seed42::a5e382570629::4::34,P4_same_elimination_gpt4omini_seed42,a5e382570629,4,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::1344eb3e8338::3::35,P4_mixed_strategy_gemini_flash_lite_seed42,1344eb3e8338,3,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gemini_flash_lite_seed42::44087b92bed9::2::36,P4_mixed_strategy_gemini_flash_lite_seed42,44087b92bed9,2,option_contrast,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;option_contrast;distractor_elimination
P4_mixed_strategy_gemini_flash_lite_seed42::de566530eac3::3::37,P4_mixed_strategy_gemini_flash_lite_seed42,de566530eac3,3,option_contrast,answer_to_stem_backward_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,answer_to_stem_backward_check;option_contrast;answer_to_stem_backward_check
P4_same_elimination_qwen25_7b_seed42::2e76aaa7f5bf::0::38,P4_same_elimination_qwen25_7b_seed42,2e76aaa7f5bf,0,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gpt4omini_seed42::a8035d6baa18::3::39,P4_mixed_strategy_gpt4omini_seed42,a8035d6baa18,3,rule_or_principle_application,rule_or_principle_application,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8666666666666667,3,rule_or_principle_application;rule_or_principle_application;rule_or_principle_application,concept_definition_match;concept_definition_match;rule_or_principle_application
P4_mixed_strategy_gemini_flash_lite_seed42::d1ea00cab364::2::40,P4_mixed_strategy_gemini_flash_lite_seed42,d1ea00cab364,2,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gpt4omini_seed42::70536d8d2aa0::1::41,P4_mixed_strategy_gpt4omini_seed42,70536d8d2aa0,1,option_contrast,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;distractor_elimination;distractor_elimination
P4_same_elimination_qwen25_7b_seed42::2ff0314a4b2b::1::42,P4_same_elimination_qwen25_7b_seed42,2ff0314a4b2b,1,answer_to_stem_backward_check,answer_to_stem_backward_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contradiction_check;option_contrast;option_contrast
P4_same_elimination_qwen25_7b_seed42::debd1e1af07d::4::43,P4_same_elimination_qwen25_7b_seed42,debd1e1af07d,4,option_contrast,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,concept_definition_match;option_contrast;concept_definition_match
P4_same_elimination_gpt4omini_seed42::a65051ae94fb::0::44,P4_same_elimination_gpt4omini_seed42,a65051ae94fb,0,distractor_elimination,option_contradiction_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,distractor_elimination;distractor_elimination;distractor_elimination,option_contrast;option_contrast;option_contradiction_check
P4_same_elimination_gpt4omini_seed42::0e02e902b5c2::2::45,P4_same_elimination_gpt4omini_seed42,0e02e902b5c2,2,quantitative_formula_application,direct_computation,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8666666666666667,3,algebraic_derivation;equation_solving;algebraic_derivation,equation_solving;equation_solving;equation_solving
P4_mixed_strategy_gemini_flash_lite_seed42::40a7b21be7a8::0::46,P4_mixed_strategy_gemini_flash_lite_seed42,40a7b21be7a8,0,quantitative_formula_application,invariant_reasoning,1.0,1.0,1.0,1.0,0.85,3,quantitative_formula_application;quantitative_formula_application;quantitative_formula_application,invariant_reasoning;invariant_reasoning;invariant_reasoning
P4_mixed_strategy_gemini_flash_lite_seed42::3799a0c4c40e::4::47,P4_mixed_strategy_gemini_flash_lite_seed42,3799a0c4c40e,4,option_contrast,answer_to_stem_backward_check,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,answer_to_stem_backward_check;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_same_elimination_deepseek_chat_seed42::1f4ede31a771::2::48,P4_same_elimination_deepseek_chat_seed42,1f4ede31a771,2,decomposition,case_analysis,1.0,1.0,1.0,1.0,0.85,3,decomposition;decomposition;decomposition,decomposition;decomposition;decomposition
P4_same_elimination_gemini_flash_lite_seed42::98cc20f41460::2::49,P4_same_elimination_gemini_flash_lite_seed42,98cc20f41460,2,causal_mechanism_reasoning,option_contrast,1.0,1.0,1.0,1.0,0.85,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::3ad581d1f287::4::50,P4_mixed_strategy_gemini_flash_lite_seed42,3ad581d1f287,4,rule_or_principle_application,option_contrast,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.85,3,option_contrast;option_contrast;rule_or_principle_application,answer_to_stem_backward_check;answer_to_stem_backward_check;option_contrast
P4_same_elimination_deepseek_chat_seed42::bed28dd4409d::1::51,P4_same_elimination_deepseek_chat_seed42,bed28dd4409d,1,option_contrast,distractor_elimination,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;distractor_elimination;option_contrast
P4_same_elimination_qwen25_7b_seed42::b97dc80f265a::2::52,P4_same_elimination_qwen25_7b_seed42,b97dc80f265a,2,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_qwen25_7b_seed42::2d6dfe40fd5d::3::53,P4_same_elimination_qwen25_7b_seed42,2d6dfe40fd5d,3,option_contrast,distractor_elimination,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;distractor_elimination;distractor_elimination
P4_mixed_strategy_gpt4omini_seed42::a65051ae94fb::1::54,P4_mixed_strategy_gpt4omini_seed42,a65051ae94fb,1,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,distractor_elimination;distractor_elimination;distractor_elimination,option_contrast;option_contrast;option_contrast
P4_same_elimination_gpt4omini_seed42::e0adf9fd8810::1::55,P4_same_elimination_gpt4omini_seed42,e0adf9fd8810,1,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_qwen25_7b_seed42::dc85d6955e92::4::56,P4_same_elimination_qwen25_7b_seed42,dc85d6955e92,4,equation_solving,direct_computation,1.0,1.0,1.0,1.0,0.85,3,algebraic_derivation;algebraic_derivation;algebraic_derivation,equation_solving;equation_solving;equation_solving
P4_mixed_strategy_deepseek_chat_seed42::f4888ae525b1::1::57,P4_mixed_strategy_deepseek_chat_seed42,f4888ae525b1,1,causal_mechanism_reasoning,concept_definition_match,1.0,1.0,1.0,1.0,0.85,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,concept_definition_match;concept_definition_match;concept_definition_match
P4_mixed_strategy_deepseek_chat_seed42::ff7632457703::4::58,P4_mixed_strategy_deepseek_chat_seed42,ff7632457703,4,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_gemini_flash_lite_seed42::debd1e1af07d::2::59,P4_same_elimination_gemini_flash_lite_seed42,debd1e1af07d,2,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_gemini_flash_lite_seed42::df0e7d3fed0d::1::60,P4_mixed_strategy_gemini_flash_lite_seed42,df0e7d3fed0d,1,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_deepseek_chat_seed42::2ff0314a4b2b::1::61,P4_same_elimination_deepseek_chat_seed42,2ff0314a4b2b,1,option_contrast,distractor_elimination,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;distractor_elimination;distractor_elimination
P4_same_elimination_qwen25_7b_seed42::1f4ede31a771::3::62,P4_same_elimination_qwen25_7b_seed42,1f4ede31a771,3,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_gpt4omini_seed42::66cb33382134::2::63,P4_same_elimination_gpt4omini_seed42,66cb33382134,2,concept_definition_match,concept_definition_match,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,option_contrast;option_contrast;option_contrast
P4_same_elimination_deepseek_chat_seed42::c54ef59ad0bb::2::64,P4_same_elimination_deepseek_chat_seed42,c54ef59ad0bb,2,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_qwen25_7b_seed42::4287ffc2abab::1::65,P4_mixed_strategy_qwen25_7b_seed42,4287ffc2abab,1,answer_to_stem_backward_check,answer_to_stem_backward_check,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.85,3,direct_computation;answer_to_stem_backward_check;answer_to_stem_backward_check,direct_computation;answer_to_stem_backward_check;answer_to_stem_backward_check
P4_same_elimination_gpt4omini_seed42::357d47ca3045::3::66,P4_same_elimination_gpt4omini_seed42,357d47ca3045,3,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_deepseek_chat_seed42::c54ef59ad0bb::0::67,P4_same_elimination_deepseek_chat_seed42,c54ef59ad0bb,0,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_deepseek_chat_seed42::710756be0535::1::68,P4_mixed_strategy_deepseek_chat_seed42,710756be0535,1,causal_mechanism_reasoning,option_contradiction_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,option_contrast;option_contrast;option_contradiction_check
P4_same_elimination_gemini_flash_lite_seed42::7f58595c17d5::0::69,P4_same_elimination_gemini_flash_lite_seed42,7f58595c17d5,0,causal_mechanism_reasoning,causal_mechanism_reasoning,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,causal_mechanism_reasoning;causal_mechanism_reasoning;causal_mechanism_reasoning,option_contrast;causal_mechanism_reasoning;option_contrast
P4_same_elimination_deepseek_chat_seed42::7271c22f591a::3::70,P4_same_elimination_deepseek_chat_seed42,7271c22f591a,3,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_gemini_flash_lite_seed42::a5e382570629::2::71,P4_same_elimination_gemini_flash_lite_seed42,a5e382570629,2,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_mixed_strategy_qwen25_7b_seed42::44087b92bed9::2::72,P4_mixed_strategy_qwen25_7b_seed42,44087b92bed9,2,option_contrast,answer_to_stem_backward_check,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;option_contrast
P4_mixed_strategy_gpt4omini_seed42::2e1a38ef5c8d::4::73,P4_mixed_strategy_gpt4omini_seed42,2e1a38ef5c8d,4,option_contrast,option_contrast,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,option_contrast;option_contrast;option_contrast
P4_same_elimination_gemini_flash_lite_seed42::b084de2ef60f::0::74,P4_same_elimination_gemini_flash_lite_seed42,b084de2ef60f,0,rule_or_principle_application,option_contrast,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.85,3,rule_or_principle_application;rule_or_principle_application;equation_solving,option_contrast;option_contrast;equation_solving
P4_same_elimination_qwen25_7b_seed42::a63408590859::3::75,P4_same_elimination_qwen25_7b_seed42,a63408590859,3,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_qwen25_7b_seed42::6b1eb1e617dc::2::76,P4_mixed_strategy_qwen25_7b_seed42,6b1eb1e617dc,2,distractor_elimination,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,distractor_elimination;distractor_elimination;distractor_elimination,concept_definition_match;concept_definition_match;option_contrast
P4_mixed_strategy_qwen25_7b_seed42::a8ec159ddb55::4::77,P4_mixed_strategy_qwen25_7b_seed42,a8ec159ddb55,4,decomposition,decomposition,1.0,1.0,1.0,1.0,0.85,3,decomposition;decomposition;decomposition,decomposition;decomposition;decomposition
P4_same_elimination_qwen25_7b_seed42::2e76aaa7f5bf::2::78,P4_same_elimination_qwen25_7b_seed42,2e76aaa7f5bf,2,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_deepseek_chat_seed42::bab7e93c939f::3::79,P4_mixed_strategy_deepseek_chat_seed42,bab7e93c939f,3,historical_context_reasoning,option_contrast,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,historical_context_reasoning;historical_context_reasoning;historical_context_reasoning,option_contrast;historical_context_reasoning;option_contrast
P4_mixed_strategy_qwen25_7b_seed42::4a047718039c::2::80,P4_mixed_strategy_qwen25_7b_seed42,4a047718039c,2,option_contradiction_check,option_contradiction_check,1.0,1.0,1.0,1.0,0.85,3,option_contradiction_check;option_contradiction_check;option_contradiction_check,option_contradiction_check;option_contradiction_check;option_contradiction_check
P4_same_elimination_qwen25_7b_seed42::eb4a8d4679f1::2::81,P4_same_elimination_qwen25_7b_seed42,eb4a8d4679f1,2,distractor_elimination,distractor_elimination,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.85,3,distractor_elimination;option_contrast;distractor_elimination,option_contradiction_check;distractor_elimination;option_contrast
P4_same_elimination_gemini_flash_lite_seed42::fadab7af0bf6::4::82,P4_same_elimination_gemini_flash_lite_seed42,fadab7af0bf6,4,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_mixed_strategy_gpt4omini_seed42::02c5f132bd5c::2::83,P4_mixed_strategy_gpt4omini_seed42,02c5f132bd5c,2,equation_solving,direct_computation,1.0,1.0,1.0,1.0,0.85,3,equation_solving;equation_solving;equation_solving,direct_computation;direct_computation;direct_computation
P4_same_elimination_deepseek_chat_seed42::5cda29621931::0::84,P4_same_elimination_deepseek_chat_seed42,5cda29621931,0,concept_definition_match,concept_definition_match,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,concept_definition_match;concept_definition_match;concept_definition_match
P4_same_elimination_deepseek_chat_seed42::e318897b7120::1::85,P4_same_elimination_deepseek_chat_seed42,e318897b7120,1,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
P4_same_elimination_gemini_flash_lite_seed42::b52740641844::2::86,P4_same_elimination_gemini_flash_lite_seed42,b52740641844,2,option_contrast,concept_definition_match,1.0,0.6666666666666666,0.6666666666666666,1.0,0.85,3,option_contrast;option_contrast;option_contrast,concept_definition_match;option_contrast;option_contrast
P4_mixed_strategy_deepseek_chat_seed42::f4f8b1d07bd4::4::87,P4_mixed_strategy_deepseek_chat_seed42,f4f8b1d07bd4,4,concept_definition_match,concept_definition_match,1.0,1.0,1.0,1.0,0.85,3,concept_definition_match;concept_definition_match;concept_definition_match,concept_definition_match;concept_definition_match;concept_definition_match
P4_mixed_strategy_gemini_flash_lite_seed42::c2d812e5a35d::4::88,P4_mixed_strategy_gemini_flash_lite_seed42,c2d812e5a35d,4,option_contrast,distractor_elimination,1.0,1.0,1.0,1.0,0.85,3,option_contrast;option_contrast;option_contrast,distractor_elimination;distractor_elimination;distractor_elimination
