answer_format,baseline_only,benchmark,dataset_format,elapsed_sec,init_mode,resume_completed,returncode,reward_mode,run_dir,seed,setting,status,task_id,task_type
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_static_seed42,42,shared_vote_pareto_tcs_static,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_static_seed43,43,shared_vote_pareto_tcs_static,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_boundary_selector_seed42,42,shared_vote_pareto_tcs_boundary_selector,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_boundary_selector_seed43,43,shared_vote_pareto_tcs_boundary_selector,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_seed42,42,shared_vote_error_pareto_tcs,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_seed43,43,shared_vote_error_pareto_tcs,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,0.0,shared,1,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_specialization_seed42,42,shared_vote_error_pareto_tcs_residual_specialization,reused_completed,sports_understanding,bbh
yes_no,0,BBH,mars,1334.14,shared,,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_specialization_seed43,43,shared_vote_error_pareto_tcs_residual_specialization,ok,sports_understanding,bbh
yes_no,0,BBH,mars,2298.57,shared,,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,42,shared_vote_error_pareto_tcs_residual_cycle_guard,ok,sports_understanding,bbh
yes_no,0,BBH,mars,2201.4,shared,,0,vote_useful_diversity,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43,43,shared_vote_error_pareto_tcs_residual_cycle_guard,ok,sports_understanding,bbh
