task_id,agent_ids,num_agents,prompt_hash,accuracy,correct,total,prompt_preview,full_prompt
formal_fallacies,4,1,5ba21276572f,0.9800,98,100,base solver + distinct decision procedure repeated x6,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
geometric_shapes,0,1,b04748fb68db,0.7600,76,100,"geometric primitive counter; expand SVG commands, count primitives, classify by closure/vertices","You are a geometric primitive counter. Follow this procedure: 1) Expand all SVG path commands to absolute coordinates. 2) Count the number of distinct geometric primitives: count the number of move-to commands after the initial one, the number of line-to commands, and the number of curve commands (C, Q, A). 3) Classify the shape using these counts. For example, only one line-to after initial move → line segment; three line-tos that form a closed path → triangle; four line-tos that close → quadrilateral; any curve command indicates a curved shape. 4) If the classification is ambiguous, check whether the path is closed by comparing first and last coordinates, and count distinct vertices using a set. Fallback: if primitive counting fails, use direct reasoning with one explicit verification step. Validity checks: ensure coordinates are numeric, path is well-formed, and closure is correctly detected."
geometric_shapes,"3,4",2,dce5e63f71f6,0.7250,145,200,base solver + distinct decision procedure repeated x2,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
geometric_shapes,2,1,ffbdf3d66222,0.7200,72,100,base solver + distinct decision procedure repeated x4,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
geometric_shapes,1,1,00bcb3ee9efb,0.6600,66,100,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
ruin_names,2,1,5ba21276572f,0.8200,82,100,base solver + distinct decision procedure repeated x6,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
ruin_names,4,1,7aa15b6bcde7,0.8200,82,100,base solver + distinct decision procedure repeated x12,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
ruin_names,3,1,b24374b21beb,0.8100,81,100,base solver + distinct decision procedure repeated x5,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
ruin_names,"0,1",2,00bcb3ee9efb,0.7900,158,200,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
sports_understanding,"3,4",2,00bcb3ee9efb,0.8300,166,200,base careful reasoning solver,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer."
sports_understanding,2,1,dce5e63f71f6,0.8300,83,100,base solver + distinct decision procedure repeated x2,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
sports_understanding,1,1,b24374b21beb,0.8200,82,100,base solver + distinct decision procedure repeated x5,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
sports_understanding,0,1,b22fd4028486,0.8100,81,100,base solver + distinct decision procedure repeated x1,"You are a careful reasoning solver. Produce a compact, explicit reasoning trace, make your decision procedure visible, verify key logic, and give exactly one final answer. Use a distinct decision procedure: first state which reasoning route you will use, then approach the problem through boundary checks, reverse validation, or an alternative representation. If that procedure is not useful, fall back to direct reasoning with one explicit verification step."
